fixedacidity;volatileacidity;citricacid;residualsugar;chlorides;freesulfurdioxide;totalsulfurdioxide;density;pH;sulphates;alcohol;quality
7,2;,39;,62;11;,047;66;178;,9976;3,16;,5;8,7;3
6,3;,21;,58;10;,081;34;126;,9962;2,95;,46;8,9;3
7;,14;,32;9;,039;54;141;,9956;3,22;,43;9,4;4
7,2;,39;,62;11;,047;66;178;,9976;3,16;,5;8,7;3
8,6;,37;,7;12,15;,039;21;158;,9983;3;,73;9,3;4
6,5;,38;,34;3,4;,036;34;200;,9937;3,14;,76;10;3
6,6;,24;,29;2;,023;19;86;,99;3,25;,45;12,5;4
7;,17;,31;4,8;,034;34;132;,9944;3,36;,48;9,6;5
5,5;,16;,22;4,5;,03;30;102;,9938;3,24;,36;9,4;4
7;,24;,51;11;,029;55;227;,9965;3,03;,61;9,5;3
7;,22;,28;1,5;,037;29;115;,9927;3,11;,55;10,5;4
7,1;,55;,13;1,7;,073;21;165;,994;2,97;,58;9,2;4
6,3;,22;,33;1,7;,041;67;164;,9928;3,32;,56;10,4;4
6,7;,47;,34;8,9;,043;31;172;,9964;3,22;,6;9,2;3
5,9;,36;,41;1,3;,047;45;104;,9917;3,33;,51;10,6;4
5,8;,25;,24;13,3;,044;41;137;,9972;3,34;,42;9,5;3
6,7;,47;,34;8,9;,043;31;172;,9964;3,22;,6;9,2;3
6,2;,37;,3;6,6;,346;79;200;,9954;3,29;,58;9,6;3
6,2;,18;,38;1,5;,028;36;117;,993;3,47;,54;9,7;4
6;,16;,37;1,5;,025;43;117;,9928;3,46;,51;9,7;4
6,6;,34;,28;1,3;,035;32;90;,9916;3,1;,42;10,7;4
7,4;,29;,29;1,6;,045;53;180;,9936;3,34;,68;10,5;4
7,4;,26;,31;7,6;,047;52;177;,9962;3,13;,45;8,9;4
7,8;,19;,26;8,9;,039;42;182;,996;3,18;,46;9,9;4
6,3;,19;,28;1,8;,022;28;158;,9907;3,2;,64;11,4;4
6,8;,2;,38;4,7;,04;27;103;,994;3,37;,58;10,7;4
5,7;,44;,13;7;,025;28;173;,9913;3,33;,48;12,5;4
7,2;,4;,62;10,8;,041;70;189;,9976;3,08;,49;8,6;2
6,8;,23;,32;1,6;,026;43;147;,9904;3,29;,54;12,5;4
5,7;,335;,34;1;,04;13;174;,992;3,27;,66;10;3
7,2;,4;,62;10,8;,041;70;189;,9976;3,08;,49;8,6;2
7,2;,28;,54;16,7;,045;54;200;,999;3,08;,49;9,5;4
6,8;,19;,58;14,2;,038;51;164;,9975;3,12;,48;9,6;4
6,4;,3;,3;2,25;,038;8;210;,9937;3,2;,62;9,9;4
6,5;,3;,29;2,25;,037;8;210;,9937;3,19;,62;9,9;3
7,8;,18;,31;12,2;,053;46;140;,998;3,06;,53;8,9;4
7,8;,18;,31;12,2;,053;46;140;,998;3,06;,53;8,9;4
7,3;,51;,26;3,3;,09;7;135;,9944;3,01;,52;8,8;3
6;,24;,27;1,9;,048;40;170;,9938;3,64;,54;10;5
5,9;,62;,28;3,5;,039;55;152;,9907;3,44;,44;12;4
6,7;,27;,12;1,3;,041;62;138;,9921;3,21;,42;10;4
7,8;,34;,35;1,8;,042;8;167;,9908;3,11;,41;12,1;4
7,3;,26;,36;5,2;,04;31;141;,9931;3,16;,59;11;4
7,4;,36;,33;1,4;,025;27;55;,9915;3,21;,33;11,2;4
7,8;,28;,32;9;,036;34;115;,9952;3,17;,39;10,3;5
6,1;,31;,26;2,2;,051;28;167;,9926;3,37;,47;10,4;4
6,8;,18;,37;1,6;,055;47;154;,9934;3,08;,45;9,1;3
7,4;,15;,42;1,7;,045;49;154;,992;3;,6;10,4;4
5,9;,13;,28;1,9;,05;20;78;,9918;3,43;,64;10,8;4
7,2;,34;,34;12,6;,048;7;41;,9942;3,19;,4;11,7;3
7,9;,19;,26;2,1;,039;8;143;,9942;3,05;,74;9,8;3
7,9;,19;,26;2,1;,039;8;143;,9942;3,05;,74;9,8;3
6,9;,25;,4;1,3;,038;22;101;,9901;3,03;,39;11,4;4
5,8;,36;,32;1,7;,033;22;96;,9898;3,03;,38;11,2;4
5,9;,32;,39;3,3;,114;24;140;,9934;3,09;,45;9,2;4
7,2;,31;,46;5;,04;3;29;,9906;3,04;,53;12,5;2
6,1;,28;,22;1,8;,034;32;116;,9898;3,36;,44;12,6;4
5,2;,36;,02;1,6;,031;24;104;,9896;3,44;,35;12,2;4
5,6;,19;,47;4,5;,03;19;112;,9922;3,56;,45;11,2;4
6,4;,1;,35;4,9;,048;31;103;,9947;3,43;,79;9,7;4
6,4;,18;,48;4;,186;64;150;,9945;3,06;,4;9,3;3
7,4;,25;,36;13,2;,067;53;178;,9976;3,01;,48;9;4
7,4;,25;,36;13,2;,067;53;178;,9976;3,01;,48;9;4
7,9;,345;,51;15,3;,047;54;171;,9987;3,09;,51;9,1;3
7,9;,345;,51;15,3;,047;54;171;,9987;3,09;,51;9,1;3
7,4;,25;,36;13,2;,067;53;178;,9976;3,01;,48;9;4
6,1;,24;,3;1,5;,045;22;61;,992;3,31;,54;10,4;3
7,2;,46;,65;10,4;,05;76;192;,9976;3,16;,42;8,7;3
5,5;,35;,35;1,1;,045;14;167;,992;3,34;,68;9,9;4
6,7;,24;,41;8,7;,036;29;148;,9952;3,22;,62;9,9;4
6,8;,28;,17;13,9;,047;49;162;,9983;3,21;,51;9;4
6,4;,16;,22;1,4;,04;41;149;,9933;3,49;,58;10;4
6,3;,26;,24;7,2;,039;38;172;,9958;3,49;,64;9,7;4
7,7;,22;,42;1,9;,052;10;87;,9922;3,3;,49;11,8;4
7,2;,46;,65;10,4;,05;76;192;,9976;3,16;,42;8,7;3
7;,3;,51;13,6;,05;40;168;,9976;3,07;,52;9,6;5
9,2;,25;,34;1,2;,026;31;93;,9916;2,93;,37;11,3;5
7,8;,28;,34;1,6;,028;32;118;,9901;3;,38;12,1;5
7;,3;,51;13,6;,05;40;168;,9976;3,07;,52;9,6;5
7,8;,28;,34;1,6;,028;32;118;,9901;3;,38;12,1;5
8,4;,35;,71;12,2;,046;22;160;,9982;2,98;,65;9,4;3
6,1;,41;,24;1,6;,049;16;137;,993;3,32;,5;10,4;4
5,9;,21;,24;12,1;,044;53;165;,9969;3,25;,39;9,5;3
7,2;,34;,44;4,2;,047;51;144;,991;3,01;,76;12,3;4
5,9;,37;,1;1,6;,057;39;128;,9924;3,24;,48;10,1;3
7,7;,34;,27;8,8;,063;39;184;,9969;3,09;,63;9,2;4
7,4;,3;,22;1,4;,046;16;135;,9928;3,08;,77;10,4;5
6,8;,51;,3;4,2;,066;38;165;,9945;3,2;,42;9,1;3
7,8;,22;,38;10,3;,059;28;99;,9967;3,12;,47;10;4
7,2;,35;,34;12,4;,051;6;37;,9944;3,13;,39;11,5;4
6,1;,26;,51;2,2;,05;61;154;,9929;3,08;,6;9,8;4
6,5;,28;,27;5,2;,04;44;179;,9948;3,19;,69;9,4;4
7,4;,41;,66;10,8;,051;77;194;,9976;3,05;,46;8,7;3
6,5;,28;,29;2,7;,038;26;107;,9912;3,32;,41;11,6;5
6,7;,34;,54;16,3;,047;44;181;,9987;3,04;,56;8,8;3
7,2;,2;,34;2,7;,032;49;151;,99;3,16;,39;12,7;5
7,4;,2;,33;1,9;,035;39;138;,991;3,17;,44;11,7;5
8,2;,22;,3;1,8;,047;47;185;,9933;3,13;,5;10,2;4
8,2;,23;,29;1,8;,047;47;187;,9933;3,13;,5;10,2;4
7,1;,22;,33;2,8;,033;48;153;,9899;3,15;,38;12,7;5
6;,38;,26;6;,034;42;134;,9912;3,38;,38;12,3;5
7,4;,41;,66;10,8;,051;77;194;,9976;3,05;,46;8,7;3
5,7;,18;,22;4,2;,042;25;111;,994;3,35;,39;9,4;3
7,3;,3;,22;6,4;,056;44;168;,9947;3,13;,35;10,1;4
6,6;,25;,3;1,6;,046;32;134;,993;3,42;,51;10,1;5
7,4;,24;,22;10,7;,042;26;81;,9954;2,86;,36;9,7;4
7,4;,26;,3;7,9;,049;38;157;,9963;3,13;,48;8,9;4
6,1;,32;,25;1,7;,034;37;136;,992;3,47;,5;10,8;5
7;,23;,33;5,8;,04;25;136;,995;3,19;,58;9,5;4
7,1;,31;,5;14,5;,059;6;148;,9983;2,94;,44;9,1;3
7,3;,2;,37;1,2;,037;48;119;,992;3,32;,49;10,9;4
6,4;,45;,07;1,1;,03;10;131;,9905;2,97;,28;10,8;3
6,9;,41;,33;10,1;,043;28;152;,9968;3,2;,52;9,4;3
7;,29;,37;4,9;,034;26;127;,9928;3,17;,44;10,8;4
5,9;,27;,29;11,4;,036;31;115;,9949;3,35;,48;10,5;6
6,9;,19;,4;1,4;,036;14;55;,9909;3,08;,68;11,5;5
6,7;,3;,35;1,4;,18;36;160;,9937;3,11;,54;9,4;4
7,2;,24;,4;1,4;,045;31;106;,9914;2,88;,38;10,8;4
6,4;,45;,07;1,1;,03;10;131;,9905;2,97;,28;10,8;3
6,4;,475;,06;1;,03;9;131;,9904;2,97;,29;10,8;3
6,3;,26;,49;1,5;,052;34;134;,9924;2,99;,61;9,8;4
6,3;,26;,49;1,5;,052;34;134;,9924;2,99;,61;9,8;4
7,3;,25;,29;7,5;,049;38;158;,9965;3,43;,38;9,6;3
7,3;,25;,29;7,5;,049;38;158;,9965;3,43;,38;9,6;3
6,1;,28;,25;17,75;,044;48;161;,9993;3,34;,48;9,5;3
7,4;,37;,35;5,7;,061;12;94;,9965;3,48;,69;10,7;4
6,5;,36;,28;3,2;,037;29;119;,9908;3,25;,65;12,4;6
7,4;,24;,4;4,3;,032;9;95;,992;3,09;,39;11,1;4
7,5;,23;,68;11;,047;37;133;,9978;2,99;,38;8,8;3
7,5;,21;,68;10,9;,045;38;133;,9978;3;,36;8,7;3
7,5;,21;,68;10,9;,045;38;133;,9978;3;,36;8,7;3
7,5;,23;,68;11;,047;37;133;,9978;2,99;,38;8,8;3
7,8;,32;,33;2,4;,037;18;101;,9912;3,21;,65;11,7;5
7,8;,26;,27;1,9;,051;52;195;,9928;3,23;,5;10,9;4
7,7;,24;,27;1,8;,051;52;190;,9928;3,23;,5;10,8;4
7,4;,19;,3;1,4;,057;33;135;,993;3,12;,5;9,6;4
6,5;,26;,43;8,9;,083;50;171;,9965;2,85;,5;9;3
5,3;,32;,12;6,6;,043;22;141;,9937;3,36;,6;10,4;4
6;,36;,06;1,4;,066;27;128;,9934;3,26;,55;9,3;3
6,2;,24;,29;13,3;,039;49;130;,9952;3,33;,46;11;6
7,6;,56;,12;10,4;,096;22;177;,9983;3,32;,45;9,1;2
7;,32;,24;6,2;,048;31;228;,9957;3,23;,62;9,4;4
7;,32;,24;6,2;,048;31;228;,9957;3,23;,62;9,4;4
5,8;,31;,33;1,2;,036;23;99;,9916;3,18;,6;10,5;4
7;,23;,42;18,05;,05;35;144;,9999;3,22;,42;8,8;3
6,9;,24;,33;4,8;,04;16;131;,9936;3,26;,64;10,7;4
6;,29;,2;12,6;,045;45;187;,9972;3,33;,42;9,5;3
6,1;,17;,28;4,5;,033;46;150;,9933;3,43;,49;10,9;4
5,9;,14;,25;4,5;,027;34;140;,9934;3,49;,51;10,8;4
6,2;,17;,28;4,7;,037;39;133;,9931;3,41;,46;10,8;5
7,4;,28;,25;11,9;,053;25;148;,9976;3,1;,62;9,2;3
5,6;,35;,14;5;,046;48;198;,9937;3,3;,71;10,3;3
5,8;,335;,14;5,8;,046;49;197;,9937;3,3;,71;10,3;3
6,1;,28;,25;12,9;,054;34;189;,9979;3,25;,43;9;2
6,3;,21;,33;13,9;,046;68;179;,9971;3,36;,5;10,4;4
6,4;,24;,28;11,5;,05;34;163;,9969;3,31;,45;9,5;3
6,4;,24;,29;11,4;,051;32;166;,9968;3,31;,45;9,5;3
6,5;,33;,72;1,1;,061;7;151;,993;3,09;,57;9,5;2
7,4;,105;,34;12,2;,05;57;146;,9973;3,16;,37;9;4
6;,32;,12;5,9;,041;34;190;,9944;3,16;,72;10;3
7,1;,26;,34;14,4;,067;35;189;,9986;3,07;,53;9,1;5
7,1;,26;,34;14,4;,067;35;189;,9986;3,07;,53;9,1;5
7,1;,26;,34;14,4;,067;35;189;,9986;3,07;,53;9,1;5
5,9;,24;,26;12,3;,053;34;134;,9972;3,34;,45;9,5;4
7,7;,27;,35;5,3;,03;30;117;,992;3,11;,42;12,2;4
7,3;,34;,21;3,2;,05;14;136;,9936;3,25;,44;10,2;3
6,8;,29;,16;1,4;,038;122,5;234,5;,9922;3,15;,47;10;2
7,1;,28;,26;1,9;,049;12;86;,9934;3,15;,38;9,4;3
6,8;,25;,34;14;,032;47;133;,9952;3,37;,5;12,2;5
7;,57;,1;8,3;,094;23;188;,9972;3,4;,47;9,2;2
7,1;,17;,38;7,4;,052;49;182;,9958;3,35;,52;9,6;4
7,8;,28;,22;1,4;,056;24;130;,9944;3,28;,48;9,5;3
6,8;,22;,37;1,7;,036;38;195;,9908;3,35;,72;12,5;4
7,1;,17;,38;7,4;,052;49;182;,9958;3,35;,52;9,6;4
6,1;,14;,25;1,3;,047;37;173;,9925;3,35;,46;10;4
6,4;,24;,5;11,6;,047;60;211;,9966;3,18;,57;9,3;3
7,8;,42;,26;9,2;,058;34;199;,9972;3,14;,55;9,3;4
6,6;,28;,36;1,7;,038;22;101;,9912;3,29;,57;11,6;4
7,1;,32;,34;14,5;,039;46;150;,995;3,38;,5;12,5;6
6,7;,31;,3;2,1;,038;18;130;,9928;3,36;,63;10,6;4
6,4;,32;,5;10,7;,047;57;206;,9968;3,08;,6;9,4;3
5,9;,29;,25;12;,057;48;224;,9981;3,23;,41;9;4
5,8;,32;,38;4,75;,033;23;94;,991;3,42;,42;11,8;5
5,8;,32;,38;4,75;,033;23;94;,991;3,42;,42;11,8;5
6,7;,28;,14;1,4;,043;64;159;,992;3,17;,39;10;3
5,9;,25;,25;11,3;,052;30;165;,997;3,24;,44;9,5;4
8,1;,46;,31;1,7;,052;50;183;,9923;3,03;,42;11,2;3
6,2;,36;,26;13,2;,051;54;201;,9976;3,25;,46;9;3
6,8;,22;,35;5,5;,043;21;114;,9938;3,3;,53;10,7;5
6,8;,67;,3;13;,29;22;193;,9984;3,08;,67;9;2
7,2;,28;,3;10,7;,044;61;222;,9972;3,14;,5;9,1;4
6,1;,36;,16;6,4;,037;36;198;,9944;3,17;,62;9,9;4
6;,36;,16;6,3;,036;36;191;,9942;3,17;,62;9,8;3
5,9;,37;,14;6,3;,036;34;185;,9944;3,17;,63;9,8;3
7,6;,29;,58;17,5;,041;51;225;,9997;3,16;,66;9,5;4
7,5;,31;,51;14,8;,039;62;204;,9982;3,06;,6;9,5;3
7,5;,31;,51;14,8;,039;62;204;,9982;3,06;,6;9,5;3
7,4;,31;,48;14,2;,042;62;204;,9983;3,06;,59;9,4;3
8,4;,4;,7;13,1;,042;29;197;,998;3,06;,64;9,7;3
5,9;,34;,22;2,4;,03;19;135;,9894;3,41;,78;13,9;5
6,6;,38;,18;1,2;,042;20;84;,9927;3,22;,45;10,1;2
6,4;,33;,28;1,1;,038;30;110;,9917;3,12;,42;10,5;4
5,6;,25;,26;3,6;,037;18;115;,9904;3,42;,5;12,6;4
7,2;,18;,45;4,4;,046;57;166;,9943;3,13;,62;11,2;4
7,7;,2;,44;13,9;,05;44;130;,99855;3,11;,48;10;4
6,2;,47;,21;1;,044;13;98;,99345;3,14;,46;9,2;3
6,1;,25;,24;12,1;,046;51;172;,998;3,35;,45;9,5;3
8,2;,27;,43;1,6;,035;31;128;,9916;3,1;,5;12,3;4
6,4;,31;,39;7,5;,04;57;213;,99475;3,32;,43;10;3
6;,39;,26;2,7;,038;39;187;,99325;3,41;,5;10,8;4
6,2;,21;,27;1,7;,038;41;150;,9933;3,49;,71;10,5;5
7,7;,42;,31;9,2;,048;22;221;,9969;3,06;,61;9,2;4
7;,27;,41;18,75;,042;34;157;1,0002;2,96;,5;9,1;3
7,4;,29;,5;1,8;,042;35;127;,9937;3,45;,5;10,2;5
6,6;,29;,44;9;,053;62;178;,99685;3,02;,45;8,9;3
6;,3;,44;1,5;,046;15;182;,99455;3,5;,52;10,4;3
6,9;,31;,34;1,6;,032;23;128;,9917;3,37;,47;11,7;4
6,6;,33;,31;1,3;,02;29;89;,99035;3,26;,44;12,4;6
7,8;,3;,4;1,8;,028;23;122;,9914;3,14;,39;10,9;5
6,4;,39;,21;1,2;,041;35;136;,99225;3,15;,46;10,2;3
6,4;,16;,31;5,3;,043;42;157;,99455;3,35;,47;10,5;3
6;,33;,27;,8;,185;12;188;,9924;3,12;,62;9,4;3
6,5;,23;,33;13,8;,042;25;139;,99695;3,35;,56;10,4;4
8,8;,28;,45;6;,022;14;49;,9934;3,01;,33;11,1;5
6,6;,25;,3;14,4;,052;40;183;,998;3,02;,5;9,1;4
6,9;,38;,25;9,8;,04;28;191;,9971;3,28;,61;9,2;3
6,4;,25;,3;5,5;,038;15;129;,9948;3,14;,49;9,6;4
6,6;,25;,3;14,4;,052;40;183;,998;3,02;,5;9,1;4
6,9;,38;,25;9,8;,04;28;191;,9971;3,28;,61;9,2;3
6,4;,25;,3;5,5;,038;15;129;,9948;3,14;,49;9,6;4
5,8;,2;,3;1,5;,031;21;57;,99115;3,44;,55;11;4
7;,2;,37;2;,03;26;136;,9932;3,28;,61;10,2;4
5,9;,26;,25;12,5;,034;38;152;,9977;3,33;,43;9,4;3
7,4;,38;,27;7,5;,041;24;160;,99535;3,17;,43;10;3
7;,21;,34;8,5;,033;31;253;,9953;3,22;,56;10,5;4
7,2;,29;,4;7,6;,024;56;177;,9928;3,04;,32;11,5;4
6,9;,18;,38;8,1;,049;44;176;,9958;3,3;,54;9,8;4
7,3;,3;,42;7,35;,025;51;175;,9928;3,04;,32;11,4;4
7,2;,29;,4;7,6;,024;56;177;,9928;3,04;,32;11,5;4
6,9;,2;,5;10;,036;78;167;,9964;3,15;,55;10,2;4
6,7;,2;,42;14;,038;83;160;,9987;3,16;,5;9,4;4
5,9;,35;,47;2,2;,11;14;138;,9932;3,09;,5;9,1;3
5,8;,25;,28;11,1;,056;45;175;,99755;3,42;,43;9,5;3
7,1;,14;,4;1,2;,051;55;136;,9932;3,3;,96;9,8;5
7,1;,13;,4;1,2;,047;54;134;,9932;3,3;,97;9,8;5
6,9;,18;,38;8,1;,049;44;176;,9958;3,3;,54;9,8;4
6,8;,24;,49;19,3;,057;55;247;1,00055;3;,56;8,7;3
5;,44;,04;18,6;,039;38;128;,9985;3,37;,57;10,2;4
7,2;,27;,42;1,6;,05;35;135;,992;2,94;,46;11;4
6,7;,5;,63;13,4;,078;81;238;,9988;3,08;,44;9,2;3
6,8;,2;,36;1,6;,028;7;46;,99175;3,21;,6;10,9;4
6,7;,11;,34;8,8;,043;41;113;,9962;3,42;,4;9,3;5
6,7;,11;,34;8,8;,043;41;113;,9962;3,42;,4;9,3;5
6,8;,12;,31;5,2;,045;29;120;,9942;3,41;,46;9,8;5
6,6;,16;,57;1,1;,13;58;140;,9927;3,12;,39;9,3;5
6,6;,21;,6;1,1;,135;61;144;,9927;3,12;,39;9,3;5
6,1;,27;,3;16,7;,039;49;172;,99985;3,4;,45;9,4;3
9,1;,27;,45;10,6;,035;28;124;,997;3,2;,46;10,4;7
6,4;,225;,48;2,2;,115;29;104;,9918;3,24;,58;12,1;4
8,3;,14;,45;1,5;,039;18;98;,99215;3,02;,56;11;4
6,9;,22;,37;15;,053;59;178;,9992;3,37;,82;9,5;5
8,1;,17;,44;14,1;,053;43;145;1,0006;3,28;,75;8,8;6
6;,395;0;1,4;,042;7;55;,99135;3,37;,38;11,2;2
7,8;,29;,22;9,5;,056;44;213;,99715;3,08;,61;9,3;4
6,9;,22;,37;15;,053;59;178;,9992;3,37;,82;9,5;5
7,2;,23;,19;13,7;,052;47;197;,99865;3,12;,53;9;3
7,6;,3;,27;10,6;,039;31;119;,99815;3,27;,3;9,3;4
7,7;,34;,28;11;,04;31;117;,99815;3,27;,29;9,2;4
7,7;,34;,28;11;,04;31;117;,99815;3,27;,29;9,2;4
5,8;,34;,16;7;,037;26;116;,9949;3,46;,45;10;5
7,6;,3;,27;10,6;,039;31;119;,99815;3,27;,3;9,3;4
7,7;,34;,28;11;,04;31;117;,99815;3,27;,29;9,2;4
5,9;,24;,3;2;,033;28;92;,99225;3,39;,69;10,9;5
5,9;,24;,3;2;,033;28;92;,99225;3,39;,69;10,9;5
7,4;,32;,27;1,4;,049;38;173;,99335;3,03;,52;9,3;3
7,2;,31;,26;7,3;,05;37;157;,99625;3,09;,43;9;3
7,8;,42;,23;8,8;,054;42;215;,9971;3,02;,58;9,2;4
6,9;,24;,33;12,5;,046;47;153;,9983;3,28;,77;9,6;4
5,4;,18;,24;4,8;,041;30;113;,99445;3,42;,4;9,4;4
6;,18;,31;1,4;,036;14;75;,99085;3,34;,58;11,1;6
6,8;,39;,35;11,6;,044;57;220;,99775;3,07;,53;9,3;3
6,6;,21;,31;11,4;,039;46;165;,99795;3,41;,44;9,8;5
6,4;,31;,26;13,2;,046;57;205;,9975;3,17;,41;9,6;3
6,2;,29;,26;13,1;,046;55;204;,99745;3,16;,41;9,6;4
6,2;,3;,26;13,4;,046;57;206;,99775;3,17;,43;9,5;4
6;,28;,49;6,8;,048;61;222;,9953;3,19;,47;9,3;3
6;,41;,05;1,5;,063;17;120;,9932;3,21;,56;9,2;4
6,4;,35;,28;1,1;,055;9;160;,99405;3,42;,5;9,1;5
6,5;,26;,32;16,5;,045;44;166;1;3,38;,46;9,5;4
7,9;,35;,24;15,6;,072;44;229;,99785;3,03;,59;10,5;4
6,2;,3;,17;2,8;,04;24;125;,9939;3,01;,46;9;3
6,6;,56;,22;8,9;,034;27;133;,99675;3,2;,51;9,1;3
6,2;,3;,17;2,8;,04;24;125;,9939;3,01;,46;9;3
6,6;,56;,22;8,9;,034;27;133;,99675;3,2;,51;9,1;3
6,6;,36;,29;1,6;,021;24;85;,98965;3,41;,61;12,4;7
7,3;,655;,2;10,2;,071;28;212;,9971;2,96;,58;9,2;4
6,8;,18;,21;5,4;,053;34;104;,99445;3,3;,43;9,4;3
6,7;,19;,23;6,2;,047;36;117;,9945;3,34;,43;9,6;4
8,4;,18;,42;5,1;,036;7;77;,9939;3,16;,52;11,7;3
7;,21;,37;7,2;,042;36;167;,9958;3,26;,56;9,8;4
6,8;,25;,38;8,1;,046;24;155;,9956;3,33;,59;10,2;4
7,4;,24;,36;2;,031;27;139;,99055;3,28;,48;12,5;7
7,1;,16;,36;1,2;,043;21;90;,9925;3,16;,42;11;5
7,4;,17;,4;5,5;,037;34;161;,9935;3,05;,62;11,5;2
7,3;,205;,31;1,7;,06;34;110;,9963;3,72;,69;10,5;4
7,5;,42;,34;4,3;,04;34;108;,99155;3,14;,45;12,8;6
7,3;,25;,36;2,1;,034;30;177;,99085;3,25;,4;11,9;6
7,3;,25;,36;2,1;,034;30;177;,99085;3,25;,4;11,9;6
7,3;,25;,36;2,1;,034;30;177;,99085;3,25;,4;11,9;6
7,6;,33;,35;6,3;,036;12;126;,9924;3,16;,39;12;5
8,7;,23;,32;13,4;,044;35;169;,99975;3,12;,47;8,8;5
8,7;,23;,32;13,4;,044;35;169;,99975;3,12;,47;8,8;5
7,3;,21;,29;1,6;,034;29;118;,9917;3,3;,5;11;6
7,3;,21;,29;1,6;,034;29;118;,9917;3,3;,5;11;6
6,6;,22;,37;15,4;,035;62;153;,99845;3,02;,4;9,3;3
9,2;,34;,27;1,2;,026;17;73;,9921;3,08;,39;10,8;3
8,7;,23;,32;13,4;,044;35;169;,99975;3,12;,47;8,8;5
6;,2;,24;1,8;,03;30;105;,9909;3,31;,47;11,5;4
6,9;,19;,35;1,7;,036;33;101;,99315;3,21;,54;10,8;5
8,2;,38;,49;13,6;,042;58;166;,99855;3,1;,54;9,4;3
7,4;,2;,35;2,1;,038;30;116;,9949;3,49;,77;10,3;5
8,2;,38;,49;13,6;,042;58;166;,99855;3,1;,54;9,4;3
8,2;,4;,48;13,7;,042;59;169;,9986;3,1;,52;9,4;3
6,7;,22;,39;10,2;,038;60;149;,99725;3,17;,54;10;5
8,1;,27;,35;1,7;,03;38;103;,99255;3,22;,63;10,4;6
7,3;,25;,42;14,2;,041;57;182;,9996;3,29;,75;9,1;5
6,2;,28;,33;1,7;,029;24;111;,99;3,24;,5;12,1;4
6,1;,27;,33;2,2;,021;26;117;,9886;3,12;,3;12,5;4
6,9;,18;,36;1,3;,036;40;117;,9934;3,27;,95;9,5;5
7,8;,18;,46;12,6;,042;41;143;1;3,24;,76;8,5;6
7,3;,28;,42;14,4;,04;49;173;,9994;3,28;,82;9;5
7,3;,24;,29;1,2;,037;37;97;,9926;3,19;,7;10,1;4
6;,45;,65;9,7;,08;11;159;,9956;3,04;,48;9,4;3
7,7;,34;,58;11,1;,039;41;151;,9978;3,06;,49;8,6;3
6,3;,26;,21;4;,03;24;125;,9915;3,06;,34;10,7;4
7,7;,15;,29;1,3;,029;10;64;,9932;3,35;,39;10,1;3
7,1;,21;,32;2,2;,037;28;141;,993;3,2;,57;10;5
6,9;,36;,34;4,2;,018;57;119;,9898;3,28;,36;12,7;7
6;,28;,34;1,6;,119;33;104;,9921;3,19;,38;10,2;4
6,2;,16;,54;1,4;,126;37;110;,9932;3,23;,37;8,9;4
7,1;,21;,32;2,2;,037;28;141;,993;3,2;,57;10;5
8,8;,36;,44;1,9;,04;9;121;,9953;3,19;,48;9,9;4
7,4;,26;,43;6;,022;22;125;,9928;3,13;,55;11,5;4
6,8;,23;,29;12,2;,035;38;236;,9976;3,35;,52;9,8;4
6,1;,34;,27;2,6;,024;20;105;,9906;3,4;,67;12,2;5
7,3;,26;,31;1,6;,04;39;173;,9918;3,19;,51;11,4;4
7,3;,26;,31;1,6;,04;39;173;,9918;3,19;,51;11,4;4
6,5;,3;,32;2;,044;34;90;,99185;3,37;,68;11;5
5;,31;0;6,4;,046;43;166;,994;3,3;,63;9,9;4
5,8;,26;,18;1,2;,031;40;114;,9908;3,42;,4;11;5
5,9;,26;,3;1;,036;38;114;,9928;3,58;,48;9,4;3
7;,31;,29;1,4;,037;33;128;,9896;3,12;,36;12,2;5
5,8;,26;,18;1,2;,031;40;114;,9908;3,42;,4;11;5
6,8;,18;,28;8,7;,047;52;242;,9952;3,22;,53;10,5;4
7;,29;,26;1,6;,044;12;87;,9923;3,08;,46;10,5;4
6,8;,18;,28;8,5;,047;52;242;,9952;3,22;,53;10,5;4
6,6;,2;,38;7,9;,052;30;145;,9947;3,32;,56;11;5
8;,29;,29;13,2;,046;26;113;,9983;3,25;,37;9,7;4
5,9;,31;,3;7,7;,047;60;206;,995;3,2;,39;9,6;4
6,9;,21;,28;2,4;,056;49;159;,9944;3,02;,47;8,8;6
7,1;,25;,39;2,1;,036;30;124;,9908;3,28;,43;12,2;6
8;,23;,37;9,6;,054;23;159;,99795;3,32;,47;9,8;2
6,3;,33;,2;5,8;,04;24;144;,99425;3,15;,63;9,9;3
6,3;,34;,19;5,8;,041;22;145;,9943;3,15;,63;9,9;3
5,8;,29;,05;,8;,038;11;30;,9924;3,36;,35;9,2;3
5,6;,29;,05;,8;,038;11;30;,9924;3,36;,35;9,2;3
7,4;,13;,39;4,7;,042;36;137;,995;3,36;,56;10,3;5
7,7;,3;,32;1,6;,037;23;124;,9919;2,93;,33;11;4
7;,24;,34;1,4;,031;27;107;,99;3,06;,39;11,9;4
8,6;,18;,4;1,1;,04;20;107;,9923;2,94;,32;10,2;5
7;,11;,32;4,6;,057;59;144;,9956;3,55;,44;9,4;5
7,7;,32;,62;10,6;,036;56;153;,9978;3,13;,44;8,9;4
7,7;,32;,62;10,6;,036;56;153;,9978;3,13;,44;8,9;4
6,3;,27;,23;2,9;,047;13;100;,9936;3,28;,43;9,8;3
